,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_nonlinear_15_79.edgelist,0.0246898597115344,0.4411153171528224,639.3840000000001,2.277768,0.065752809797589,-0.3435400618017149,0.0029485472630513,0.0036069466154564,2.600065226829673,141.16184564770563
barabasi_nonlinear_15_37.edgelist,0.0251089199724833,0.4438758153688104,633.7140000000003,2.266428,0.0517928266153173,-0.2797302011396991,0.0029809564534033,0.00376857744817,2.6943434013327487,185.61788706910764
barabasi_nonlinear_15_27.edgelist,0.02460732404351,0.4483245802884405,622.6809999999999,2.244362,0.0486316962046029,-0.2685496318425988,0.0029783179815059,0.0037179299930266,2.6938098190379365,202.6497388763841
barabasi_nonlinear_15_91.edgelist,0.023655464507303,0.4513634412878577,614.5230000000001,2.228046,0.0533504921591702,-0.2858722079905435,0.0029656502091315,0.0037480837547122,2.648653641206089,186.77258899528056
barabasi_nonlinear_15_33.edgelist,0.0257426114386571,0.4416085998436124,638.4240000000003,2.275848,0.0620571093114792,-0.3384046263075525,0.0029666516041354,0.0036026508981311,2.652040720488203,151.84284639060215
barabasi_nonlinear_15_74.edgelist,0.0254675367674545,0.4504133666447649,616.388,2.231776,0.0520826767588449,-0.2914321888601246,0.0029715983025645,0.0035021751305362,2.668847748290853,191.3913965325157
barabasi_nonlinear_15_57.edgelist,0.0248866801906296,0.4540685339817097,606.1509999999998,2.211302,0.0669199738103586,-0.3809899148436963,0.0029261721242241,0.0035365689907976,2.530761791024412,151.5541707333278
barabasi_nonlinear_15_48.edgelist,0.02363804959681,0.4530369863423144,609.5220000000002,2.218044,0.0618302052473151,-0.3177205371978818,0.0029667303839241,0.0035498989764576,2.652915094775945,163.6785467514502
barabasi_nonlinear_15_68.edgelist,0.0263026498805235,0.4370191751277443,650.7849999999997,2.30057,0.0608499727550497,-0.3143555010082161,0.0029640292290879,0.0036985263965786,2.6477759569517523,149.24476540234167
barabasi_nonlinear_15_73.edgelist,0.0235282438201131,0.4531468826376381,609.043,2.217086,0.0592362536182896,-0.3377564031693585,0.0029705388248244,0.0036110348552807,2.6700511046384467,170.89543586649702
barabasi_nonlinear_15_99.edgelist,0.0240525524480617,0.4556076212278511,604.0519999999999,2.207104,0.056257920481692,-0.29085609492791,0.0029801829380436,0.0034983785494959,2.693579927560452,183.5971586563002
barabasi_nonlinear_15_9.edgelist,0.0236228693343017,0.4597672603612653,592.6099999999997,2.18422,0.0645575683950171,-0.3625936645013646,0.0029524454276373,0.0034915577499674,2.622103234958708,165.98795136997143
barabasi_nonlinear_15_15.edgelist,0.0232993765855769,0.4564406900147329,600.6589999999999,2.200318,0.0590741460732987,-0.3307681344657083,0.0029321865269484,0.0034557377168931,2.548655882621171,172.0501380412117
barabasi_nonlinear_15_18.edgelist,0.0248554347484813,0.4430764879657515,634.831,2.268662,0.0613001568463473,-0.3288942742117245,0.0029535817767922,0.0035382016915541,2.616837800911252,153.57490029298407
barabasi_nonlinear_15_76.edgelist,0.0242558734637346,0.4501845962974565,615.7889999999998,2.230578,0.0594951514405213,-0.3640316858659249,0.0029493949498474,0.003293860805302,2.5989427203339823,169.45205811674285
barabasi_nonlinear_15_34.edgelist,0.0261057074692604,0.4280336279353625,673.9889999999999,2.346978,0.0726377489231878,-0.3601249469331229,0.0029559882477135,0.0037233900258277,2.629058336193538,116.91307312130095
barabasi_nonlinear_15_4.edgelist,0.0247995899969039,0.4487868558325238,620.4959999999996,2.239992,0.058937582641983,-0.3145094079562427,0.0029786256365074,0.0036977113632516,2.6968885893084757,165.1219246496358
barabasi_nonlinear_15_69.edgelist,0.024897333155158,0.4372801139889238,649.429,2.297858,0.0623535299024952,-0.325882373185505,0.0029583618202369,0.0037660232568561,2.625963553363296,145.78065715313537
barabasi_nonlinear_15_40.edgelist,0.0252506544398225,0.4479502035513301,621.4830000000001,2.241966,0.0566826708925563,-0.351299109453271,0.0029332006860771,0.0035042089915291,2.5561433714399007,171.47278695660916
barabasi_nonlinear_15_31.edgelist,0.0254581199646654,0.4282155152881603,673.4990000000003,2.345998,0.0684544606686004,-0.3375283430763742,0.0029701061706196,0.0038500142224026,2.6656800191431627,124.41864811996632
barabasi_nonlinear_15_55.edgelist,0.0255056732869443,0.4205967356528995,695.6020000000003,2.390204,0.0572439543639612,-0.2727196733473726,0.0029888163463078,0.0037882478237632,2.719971081507053,137.69773660691257
barabasi_nonlinear_15_97.edgelist,0.0238819972023754,0.4538856049779374,608.5279999999998,2.216056,0.0516027852319946,-0.2904273182589887,0.0029562193011489,0.0037540945550334,2.6246498739666326,199.47430912275397
barabasi_nonlinear_15_38.edgelist,0.0241185366257872,0.4478956497381278,622.5729999999998,2.244146,0.0613242874687211,-0.3466724162499288,0.0029489993628089,0.0036537794057513,2.6069735613256246,164.83324907311632
